ref,PTT,D_DATE,NSATS_DETECTED,NSATS_TRANSMITTED,CNT,LAT,LON,RESIDUAL,TIMESHIFT,SUBMITTED,NSATS_HEALTHY,NBITS,DELETED,V_MASK,KM_FROM_HOME,EST_SPEED
ob02-721-11,96721,7/31/2011,8,8,1,-20.11252022,-70.13262939,6.199999809,-4.400000095,8/10/2011,8,15,,0,78.494,0.16
ob02-721-11,96721,7/31/2011,7,7,2,-20.11253929,-70.13272095,3.599999905,-4.400000095,8/10/2011,7,15,,0,78.49,0.01
ob02-721-11,96721,7/31/2011,7,7,1,-20.11263084,-70.13240814,5.199999809,-4.400000095,8/10/2011,7,15,,0,78.487,0.01
ob02-721-11,96721,8/1/2011,6,6,1,-20.11263084,-70.13253784,2,-4.400000095,8/10/2011,6,15,,0,78.484,0
ob02-721-11,96721,8/1/2011,8,8,1,-20.11286926,-70.13215637,10.39999962,-4.5,8/10/2011,8,15,,0,78.467,0.02
ob02-721-11,96721,8/3/2011,8,8,1,-20.03779984,-70.15035248,7.300000191,-4.699999809,8/10/2011,8,15,,0,86.27,0.6
ob02-721-11,96721,8/3/2011,7,7,1,-20.01144981,-70.1467514,5.099999905,-4.699999809,8/10/2011,7,15,,0,89.223,0.58
ob02-721-11,96721,8/5/2011,9,8,1,-20.0180397,-70.14156342,8.800000191,-4.800000191,8/15/2011,8,15,,0,88.601,0.47
ob02-721-11,96721,8/5/2011,7,7,1,-20.11039925,-70.18746948,4.900000095,-4.800000191,8/15/2011,7,15,,0,77.656,0.77
ob02-721-11,96721,8/5/2011,9,8,1,-20.22775078,-70.30422974,4.5,-4.800000191,8/15/2011,8,15,,0,63.703,0.77
ob02-721-11,96721,8/5/2011,10,8,2,-20.24754906,-70.31070709,8.399999619,-4.800000191,8/15/2011,8,15,,0,61.507,0.99
ob02-721-11,96721,8/5/2011,8,8,1,-20.44043922,-70.31948853,10.10000038,-4.800000191,8/15/2011,8,15,,0,40.077,1.2
ob02-721-11,96721,8/5/2011,5,5,2,-20.45675087,-70.29424286,4.599999905,-4.800000191,8/15/2011,5,15,,0,38.214,1.12
ob02-721-11,96721,8/5/2011,9,8,1,-20.49194908,-70.27409363,4.800000191,-4.800000191,8/15/2011,8,15,,0,34.397,0.9
ob02-721-11,96721,8/5/2011,7,7,1,-20.57909966,-70.27690125,8.800000191,-4.800000191,8/15/2011,7,15,,0,24.707,0.76
ob02-721-11,96721,8/6/2011,9,8,2,-20.65382957,-70.2411499,3.099999905,-34.79999924,8/15/2011,8,15,,0,17.386,0.45
ob02-721-11,96721,8/6/2011,9,8,1,-20.73947906,-70.29656219,7957.200195,-30.79999924,8/15/2011,8,15,,20,,
ob02-721-11,96721,8/6/2011,6,6,2,-20.72727013,-70.23239136,1.600000024,-34.90000153,8/16/2011,6,15,,0,10.727,0.46
ob02-721-11,96721,8/6/2011,5,5,1,-20.73629951,-70.24382782,0.800000012,-34.40000153,8/16/2011,5,15,,0,9.19,0.64
ob02-721-11,96721,8/6/2011,11,8,1,-20.79231071,-70.22080994,1.5,-34.90000153,8/18/2011,8,15,,0,8.285,0.55
